sku,cost
14978,163.53
14979,163.53
14980,163.53
14981,163.53
14983,163.53
14984,163.53
14985,163.53
14986,163.53
14987,163.53
14989,163.53
14990,410.93
14991,410.93
14992,410.93
14993,410.93
14995,410.93
14996,629.63
14997,629.63
14998,629.63
14999,629.63
15001,629.63
15002,506.02
15003,506.02
15004,506.02
15005,506.02
15007,506.02
15008,728.74
15009,728.74
15010,728.74
15011,728.74
15013,728.74
15014,687.60
15015,687.60
15016,687.60
15017,687.60
15019,687.60
15020,951.74
15021,951.74
15022,951.74
15023,951.74
15025,951.74
15026,1077.59
15027,1077.59
15028,1077.59
15029,1077.59
15031,1077.59
15032,126.23
15033,126.23
15034,126.23
15035,126.23
15037,126.23
15038,163.53
15039,163.53
15040,163.53
15041,163.53
15043,163.53
15044,163.53
15045,163.53
15046,163.53
15047,163.53
15049,163.53
15050,950.33
15051,950.33
15052,950.33
15053,950.33
15055,950.33
15056,1077.59
15057,1077.59
15058,1077.59
15059,1077.59
15061,1077.59
15062,293.59
15063,293.59
15064,293.59
15065,293.59
15067,293.59
15068,293.59
15069,293.59
15070,293.59
15071,293.59
15073,293.59
15074,293.59
15075,293.59
15076,293.59
15077,293.59
15079,293.59
15080,276.95
15081,276.95
15082,276.95
15083,276.95
15085,276.95
15086,266.66
15087,266.66
15088,266.66
15089,266.66
15091,266.66
15092,823.74
15093,823.74
15094,823.74
15095,823.74
15097,823.74
15098,274.24
15099,274.24
150EXTGRILLESQ,9.79
15100,274.24
15101,274.24
15102,274.24
15103,274.24
15104,274.24
15105,274.24
15106,274.24
15107,274.24
15110,136.70
15111,136.70
15112,136.70
15113,136.70
15115,136.70
15116,163.53
15117,163.53
15118,163.53
15119,163.53
15121,163.53
15122,163.53
15123,163.53
15124,163.53
15125,163.53
15127,163.53
15128,163.53
15129,163.53
15130,163.53
15131,163.53
15133,163.53
15134,410.93
15135,410.93
15136,410.93
15137,410.93
15139,410.93
15140,629.63
15141,629.63
15142,629.63
15143,629.63
15145,629.63
15146,510.23
15147,510.23
15148,510.23
15149,510.23
15151,510.23
15152,728.74
15153,728.74
15154,728.74
15155,728.74
15157,728.74
15158,687.60
15159,687.60
15160,687.60
15161,687.60
15163,687.60
15164,951.74
15165,951.74
15166,951.74
15167,951.74
15169,951.74
15170,1077.59
15171,1077.59
15172,1077.59
15173,1077.59
15175,1077.59
15176,155.02
15177,155.02
15178,155.02
15179,155.02
15181,155.02
15182,126.23
15183,126.23
15184,126.23
15185,126.23
15187,126.23
15188,192.33
15189,192.33
15190,192.33
15191,192.33
15193,192.33
15194,221.13
15195,221.13
15196,221.13
15197,221.13
15199,221.13
15200,221.13
15201,221.13
15202,221.13
15203,221.13
15205,221.13
15206,221.13
15207,221.13
15208,221.13
15209,221.13
15211,221.13
15212,464.60
15213,464.60
15214,464.60
15215,464.60
15217,464.60
15218,722.57
15219,722.57
15220,722.57
15221,722.57
15223,722.57
15224,551.37
15225,551.37
15226,551.37
15227,551.37
15229,551.37
15230,836.08
15231,836.08
15232,836.08
15233,836.08
15235,836.08
15236,726.78
15237,726.78
15238,726.78
15239,726.78
15241,726.78
15242,1009.61
15243,1009.61
15244,1009.61
15245,1009.61
