supplier	sku	cost_ex_gst	cost_inc_gst
Brilliant Lighting	19309/05	38.4800	42.3300
Brilliant Lighting	19529/05	47.8400	52.6200
Brilliant Lighting	22125/05	25.9000	28.4900
Brilliant Lighting	22126/05	37.7700	41.5500
Brilliant Lighting	17950/13	21.5800	23.7400
Brilliant Lighting	21835/06	29.0500	31.9600
Brilliant Lighting	21835/05	29.0500	31.9600
Brilliant Lighting	21837/06	45.1300	49.6400
Brilliant Lighting	20682/05	38.4800	42.3300
Brilliant Lighting	20684/05	43.6800	48.0500
Brilliant Lighting	20686/05	54.0800	59.4900
Brilliant Lighting	20688/05	59.2800	65.2100
Brilliant Lighting	21551/05	32.2400	35.4600
Brilliant Lighting	21793/05	45.3200	49.8500
Brilliant Lighting	21792/05	34.5300	37.9800
Brilliant Lighting	22752/08	40.4600	44.5100
Brilliant Lighting	22754/08	88.1900	97.0100
Brilliant Lighting	22753/08	57.0600	62.7700
Brilliant Lighting	22371/08	46.6900	51.3600
Brilliant Lighting	22372/08	65.0000	71.5000
Brilliant Lighting	22756/08	108.9400	119.8300
Brilliant Lighting	22755/08	77.8100	85.5900
Brilliant Lighting	20458/05	118.5600	130.4200
Brilliant Lighting	22330/05	57.0600	62.7700
Brilliant Lighting	21473/05	47.4800	52.2300
Brilliant Lighting	21795/05	35.6100	39.1700
Brilliant Lighting	21796/05	50.7100	55.7800
Brilliant Lighting	19997/08	81.1200	89.2300
Brilliant Lighting	19625/05	46.8000	51.4800
Brilliant Lighting	80886/05	6.5500	7.2100
Brilliant Lighting	21933/06	15.1100	16.6200
Brilliant Lighting	21933/05	15.1100	16.6200
Brilliant Lighting	22828/05	5.5500	6.1100
Brilliant Lighting	22886/05	5.3500	5.8800
Brilliant Lighting	20214/05	30.2100	33.2300
Brilliant Lighting	20203/05	32.3700	35.6100
Brilliant Lighting	20454/06	29.1300	32.0400
Brilliant Lighting	20454/05	30.2100	33.2300
Brilliant Lighting	21996/05	169.4000	186.3400
Brilliant Lighting	22785/05	28.5300	31.3800
Brilliant Lighting	22786/05	36.3100	39.9400
Brilliant Lighting	22787/05	51.3600	56.5000
Brilliant Lighting	22788/05	61.7300	67.9000
Brilliant Lighting	20429/05	12.5200	13.7700
Brilliant Lighting	20429SP001/06	11.3300	12.4600
Brilliant Lighting	20429SP001/13	11.3300	12.4600
Brilliant Lighting	21755/05	10.2500	11.2800
Brilliant Lighting	20204/05	25.9000	28.4900
Brilliant Lighting	21932/05	11.3300	12.4600
Brilliant Lighting	21931/05	12.5200	13.7700
Brilliant Lighting	22262	93.3800	102.7200
Brilliant Lighting	22264	20.7500	22.8300
Brilliant Lighting	22263	114.1300	125.5400
Brilliant Lighting	22265	20.7500	22.8300
Brilliant Lighting	17880	75.9200	83.5100
Brilliant Lighting	22004	60.4200	66.4600
Brilliant Lighting	22008	74.4500	81.9000
Brilliant Lighting	22002	60.4200	66.4600
Brilliant Lighting	22003	32.3700	35.6100
Brilliant Lighting	22007	46.4000	51.0400
Brilliant Lighting	22001	32.3700	35.6100
Brilliant Lighting	22268	12.9700	14.2700
Brilliant Lighting	22266	12.9700	14.2700
Brilliant Lighting	22267	14.0100	15.4100
Brilliant Lighting	22269/05	29.1300	32.0400
Brilliant Lighting	19893/06	26.9800	29.6800
Brilliant Lighting	19878/06	121.6800	133.8500
Brilliant Lighting	22555/06	82.4800	90.7300
Brilliant Lighting	22555/05	82.4800	90.7300
Brilliant Lighting	22553/06	61.7300	67.9000
Brilliant Lighting	22553/05	61.7300	67.9000
Brilliant Lighting	22551/06	51.3600	56.5000
Brilliant Lighting	22551/05	51.3600	56.5000
Brilliant Lighting	22559/06	82.4800	90.7300
Brilliant Lighting	22559/05	82.4800	90.7300
Brilliant Lighting	22557/06	72.1100	79.3200
Brilliant Lighting	22557/05	72.1100	79.3200
Brilliant Lighting	22561/06	113.6100	124.9700
Brilliant Lighting	22561/05	113.6100	124.9700
Brilliant Lighting	19689/06	71.5900	78.7500
Brilliant Lighting	19693/51	49.5000	54.4500
Brilliant Lighting	17530/06	25.9400	28.5300
Brilliant Lighting	17529/06	36.3100	39.9400
Brilliant Lighting	17943/51	40.9800	45.0800
Brilliant Lighting	18048/51	30.0900	33.1000
Brilliant Lighting	18049/51	30.0900	33.1000
Brilliant Lighting	17942/16	56.1100	61.7200
Brilliant Lighting	17942/51	51.7900	56.9700
Brilliant Lighting	19929/51	22.3100	24.5400
Brilliant Lighting	19929/05	22.3100	24.5400
Brilliant Lighting	19930/51	22.3100	24.5400
Brilliant Lighting	19930/05	22.3100	24.5400
Brilliant Lighting	20779/51	45.3200	49.8500
Brilliant Lighting	20781/51	59.3500	65.2900
Brilliant Lighting	20781/05	59.3500	65.2900
Brilliant Lighting	20775/51	38.8400	42.7200
Brilliant Lighting	20775/05	38.8400	42.7200
Brilliant Lighting	20777/51	55.0300	60.5300
Brilliant Lighting	19973/06	39.4300	43.3700
Brilliant Lighting	19971/06	39.4300	43.3700
Brilliant Lighting	19971/05	39.4300	43.3700
Brilliant Lighting	22545/06	71.5900	78.7500
Brilliant Lighting	22546/06	113.0900	124.4000
Brilliant Lighting	22547/06	164.9600	181.4600
Brilliant Lighting	22011/06	18.1600	19.9800
Brilliant Lighting	22016/06	30.6100	33.6700
Brilliant Lighting	22016/05	30.6100	33.6700
Brilliant Lighting	22018/06	36.3100	39.9400
Brilliant Lighting	22018/05	36.3100	39.9400
Brilliant Lighting	22020/06	50.8400	55.9200
Brilliant Lighting	18031/16	28.5300	31.3800
Brilliant Lighting	17952/51	30.6100	33.6700
Brilliant Lighting	20052/05	25.9400	28.5300
Brilliant Lighting	20597/06	46.6900	51.3600
Brilliant Lighting	20597/13	46.6900	51.3600
Brilliant Lighting	20607/16	82.4800	90.7300
Brilliant Lighting	20601/06	61.2100	67.3300
Brilliant Lighting	20601/13	61.2100	67.3300
Brilliant Lighting	19675/51	41.5000	45.6500
Brilliant Lighting	17911/09	20.2300	22.2500
Brilliant Lighting	17911/06	20.2300	22.2500
Brilliant Lighting	22010/06	20.7500	22.8300
Brilliant Lighting	21639/06	6.5500	7.2100
Brilliant Lighting	21633/06	61.3600	67.5000
Brilliant Lighting	21636/06	29.1200	32.0300
Brilliant Lighting	21640/06	7.7000	8.4700
Brilliant Lighting	22084/06	22.6600	24.9300
