sku,cost
MX1210R-CCT-SEN,31.75
MP6937,42.67
LOI1001099,238.5
LOI1001097,378.9
LOI1001100,409.5
LOI1001098,168.3
HV5530T-WHT,26.11
METI01,1335.19
METI02,821.64
METI03W,383.38
AMELIA OY28-3C,44.5825
AMELIA OY40-3C,62.7725
BE3400SPWH,39.06
BE3500SPWH,43.8
OBE07-W,94.0
HV1097GU10T,140.14
HV1297GU10T,96.95
HV1197GU10T,91.84
HV1397GU10T,183.33
ST02B-W-ST01BL-SH,135.0
ST01B-W-ST01BL-SH,99.0
ST01B-W-ST01N-SH,99.0
ST01B-W-BRTUBE,81.0
PVPXHF250RDR,105.63
PVPXHF200RDR,79.135
PVPXHF250SQR,105.63
PVPXHF200SQR,79.135
94831,80.75
SAH31WH,318.675
SAH31BL,318.675
32917,84.15
16324,62.135
16318,62.135
16320,68.34
25709,92.99
FC990186GRKIT,331.05
FC990216GRKIT,361.9
FD476240GR,76.25
FD476090GR,34.08
FD476180GR,53.14
FC990216BCKIT,372.96
FC990186BCKIT,342.13
FLF4781BC,59.99
FD476090BC,31.77
FD476180WH,50.83
HV9658-24V300W,125.09
203369,297.39
203371,297.39
202969,332.1
202971,332.1
203372,327.57
203373,327.57
202972,362.29
202979,42.0
203375,78.6
203376,42.0
6N43293003,150.0
6N43293001,150.0
6N43293010,150.0
RYE EX20-BRS,153.7225
RYE EX27-BRS,271.9575
LOI1001373,101.7
LOI1001376,101.7
LOI1001372,53.1
LOI1001375,53.1
LOI1001167,44.1
LOI1001168,44.1
LOI1001169,155.7
LOI1001171,206.1
LOI1001170,155.7
LOI1001172,206.1
LOI1000442,98.1
LOI1000148,63.9
LOI1000463,86.4
LOI1001221,63.9
LOI1001149,101.7
LOI1000147,90.0
LOI1001395,95.4
LOI1001394,128.7
LOI1001393,139.5
LOI1001392,128.7
LOI1001113,89.1
LOI1001101,84.6
LCG45B15-4W-DL,3.5
LCG45B15-4W-WW,3.5
LCG45B22-4W-DL,3.5
LCG45B22-4W-WW,3.5
LCG45E14-4W-DL,3.5
LCG45E14-4W-WW,3.5
LCG45E27-4W-DL,3.5
LCG45E27-4W-WW,3.5
KOBE16WLED3000K,34.9
KOBE27WLED3000K,39.9
LOI1001096,206.1
LOI1001112,122.4
LOI1001110,97.92
LOI1001111,106.56
200693,21.25
200694,29.75
200695,38.25
49991N,293.25
97366,97.75
FC368163WH,159.35
FC368163BB,164.35
97368,327.25
FC360163BB,305.62
202938,94.35
202939,113.05
206109,73.95
206111,94.35
206112,113.05
83433,33.15
49772,177.65
49771,157.25
abbey1,232.76
abbey2,260.14
HV9506D,9.59
96477,92.65
49468,61.625
94187,58.65
96566,78.625
202779,78.625
203622,158.33
202622,4.25
202624,4.25
202628,2.55
202626,6.1625
203905N,19.975
32918N,84.15
97296,118.15
HV1117GU10T,96.95
HV1217GU10T,102.2
HV1317GU10T,192.08
HV1491T,94.92
HV1494T,200.69
SUNB1000BL,110.74
SUNB2000BL,126.665
HV1494RGB,200.69
VSH2400,373.8
VSH1800-R,297.885
PVP31HLXWH,385.77
11323,112.67
11344,160.08
12309,163.81
12310,178.18
12215,13.27
12282,15.92
VEDLKWH,109.34
VATK150,112.245
VMFIL100,71.47
VMFIL200,172.795
VMFIL150,113.26
HV2826-D-12W,28.63
20682/05,38.48
20684/05,43.68
20686/05,54.08
20688/05,59.28
A29111,61.74
AIP2661,344.96
GRA06-W,99.0
GRA10-P,612.0
GRA01-T,126.0
203621,126.13
203619,126.13
203625,132.22
203624,132.22
203627,161.98
203626,161.98
P3B2571,186.34
P3B2575,200.97
203628,30.0
203631,30.0
205127,46.0
DC2460,33.11
DC2461,33.11
TBF0861,1154.23
TBF0862,1154.23
DC2470,81.62
DC2471,81.62
TBF1061,1385.23
TBF1062,1385.23
A2002,56.21
A2003,64.68
A3520,68.53
HV3684T-BLK,122.43
HV3684T-WHT,122.43
HV3683T-WHT,111.58
HV3683T-BLK,111.58
HV3681T-BLK,78.54
HV3681T-WHT,78.54
SPY1253BL-L,188.335
SPY1253WH-L,188.335
SPY1423BL-L,218.155
SPY1423BAM-L,268.8
SPY903WH-L,178.99
20684716,342.17
20684707,342.17
20684816,376.82
20684807,376.82
20684916,368.16
20684907,368.16
20685116,402.81
20715/05,68.64
NIGHT01,10.37
FC360143RB,216.81
31350,74.885
31351,74.885
31352,74.885
31395,56.015
31396,56.015
31367,124.015
31366,124.015
HV5530T-BLK,26.11
HV1187GU10T,34.72
WBF110,3.16
WBF145,3.6
HV9911,40.11
HV9913,33.04
HV9912,52.64
HV1071T,41.58
HV1171T,33.81
HV1271T,35.63
HV1072T,41.58
HV1172T,33.81
HV1272T,35.63
HV1372T,78.82
8R152003019,445.0
8R152003001,445.0
8R152003000,445.0
8R152003059,445.0
8R152003067,445.0
8R152003053,445.0
8R152003065,445.0
LFGU10D-12W-DL,11.0
LFGU10D-12W-WW,11.0
20368,87.21
20367,87.21
20366,76.245
HV9693-1806-3M,40.67
HV1401T,79.87
HV1402T,50.47
HV1409T,39.55
HV1412T,88.13
Hv9507,9.59
LOI1000292,2160.0
HV1413T,113.4
HV1423T,60.55
HV1425T,80.57
HV1421T,33.67
HV1427T,33.67
HV1428T,21.14
20114,68.765
20794,26.98
HV1458T,63.0
HV1462T-BLK,50.47
HV1487T,37.87
HV1489T-TTM,54.39
HV1489T-BLK,54.39
HV1607,16.38
WAL01-W,90.0
CLA05-W,99.0
AMA02-W,99.0
ALB03-W,72.0
MAN08-W,98.0
UA4240/3000WH,45.0
UA4240/4000WH,45.0
43194,341.275
49473N,58.65
49549N,279.65
49074N,47.175
49071N,47.175
33345N,64.175
97845N,121.125
97841N,169.15
HV1602T-BLK,69.72
HV1601T-BLK,69.72
HV1603-SS316,74.97
HV1603-BLK,40.04
HV1603-AB,84.0
HV1601T-TTM,74.83
HV1602T-TTM,74.83
HV1601T-AB,151.13
HV1602T-AB,151.13
HV1601T-SS316,124.74
HV1602T-SS316,124.74
113046,17.425
110063,15.5125
OL93721BK,119.8
OL93721WH,119.8
OL92631BK,111.8
OL92631WH,111.8
98653,233.75
98654,534.65
HV9511W,9.31
HV9511C,9.31
202973,362.29
204353,372.0
204351,356.0
"SYCAMORE 54"" White",417.0
"SYCAMORE 54"" Black",417.0
"SYCAMORE 54"" Brushed Chrome",417.0
204156,198.45
204154,152.25
204158,260.77
204159,260.77
204152,86.1
204153,103.95
94832,92.65
HV5812T-BLK,43.26
HV5812T-WHT,43.26
HV5823T-WHT,94.01
HV5825T-BLK,173.95
HV5825T-WHT,173.95
BH152ESWBK,213.9
BH152ESWWH,213.9
HV5813T-BLK,57.12
HV5813T-WHT,57.12
HV5702T-BLK,24.29
HV5702T-WHT,24.29
HV5823T-BLK,94.01
HV5815T-BLK,77.49
HV5815T-WHT,77.49
94788,84.15
97261,97.75
HV1605T-BLK-12V,67.76
HV1605T-BLK-240V,67.76
HV1605T-SS316-12V,67.76
HV1605T-SS316-240V,67.76
MWL002BLK,16.21
MWL002WHT,15.55
HV1608T-BLK-12V,161.35
HV1608T-BLK-240V,161.35
HV1608T-SS316-12V,161.35
HV1608T-SS316-240V,161.35
HV1615T-BLK-12V,67.76
HV1615T-BLK-240V,67.76
HV1615T-SS316-12V,67.76
HV1615T-SS316-240V,67.76
HV1616T-BLK-240V,130.41
HV1616T-SS316-240V,130.41
HV1618T-BLK-12V,161.35
HV1618T-BLK-240V,161.35
HV1618T-SS316-12V,161.35
HV1618T-SS316-240V,161.35
HV1825T-SQ,57.96
HV1701T,57.96
HV1706T,57.96
HV1801T,57.96
HV1806T,57.96
HV1825T,57.96
HV1827T,73.99
HV1829T,180.53
HV1828T,84.84
HV1842T,92.4
HV1841T,68.11
HV1843T,122.64
HV1845T,155.33
HV1847T,158.69
HV19012T-SS316,95.34
HV19032T-SS316,95.34
HV19012T-CP,110.04
HV19012T-BLK,95.34
HV19022T-SS316,95.34
HV19042T-SS316,95.34
HV19022T-CP,110.04
HV19022T-BLK,95.34
HV19062T,100.31
HV19072T,100.31
HV19082T,100.31
HV19092T,100.31
HV19102T,100.31
6N47303001,205.0
6N47313001,205.0
AIPL2668,394.24
AIP2664,439.67
AIP2665,439.67
SKY1203WH,170.625
SKYAPPCM,28.315
SKY1203BL,170.625
SKY1303WH,190.085
SKY1503WH,219.415
SKY1203WH-L,209.615
SKY1303WH-L,229.18
SKY1503WH-L,258.37
HV2904T,58.73
HV2903T,58.73
HV2904T-AB,66.85
HV2903T-AB,66.85
HV2924T,24.5
HV2923T,24.5
19985,52.105
19986,52.105
19989,52.105
19990,52.105
19987,52.105
19988,52.105
19991,52.105
19992,52.105
19890,126.565
19891,126.565
19884,169.745
19885,169.745
19882,169.745
19883,169.745
15147,463.845
15146,463.845
15151,463.845
15148,463.845
15170,979.625
15171,979.625
15173,979.625
15175,979.625
15172,979.625
15164,865.215
15165,865.215
15167,865.215
15169,865.215
15166,865.215
15122,148.665
15123,148.665
15125,148.665
15127,148.665
15124,148.665
15176,140.93
15177,140.93
15179,140.93
15181,140.93
15178,140.93
15182,114.75
15183,114.75
15185,114.75
15187,114.75
15184,114.75
15153,662.49
15152,662.49
15155,662.49
15157,662.49
15154,662.49
15140,572.39
15141,572.39
15143,572.39
15145,572.39
15142,572.39
15135,373.575
15134,373.575
15137,373.575
15139,373.575
15136,373.575
15128,148.665
15129,148.665
15130,148.665
15131,148.665
15133,148.665
15116,148.665
15117,148.665
15119,148.665
15121,148.665
15118,148.665
15110,124.27
15111,124.27
15113,124.27
15115,124.27
15112,124.27
39463,883.15
39462,730.15
39458,806.65
39457,509.15
39461,2064.65
39494,730.15
39495,883.15
39493,2064.65
39489,509.15
39492,1376.15
39401,211.65
39402,296.65
39547,1571.65
MC1015,25.0
LCG9-2.5W-WW,5.5
LCG9-2.5W-DL,5.5
FRM86,43.48
MWL001BRS,30.31
MPLS512L,101.83
Pors8p,869.0
9E27LEDST64DC,6.48
VEC1SBLK,19.5
VEC1SWHT,19.5
URB1SBLK,46.0
URB1SWHT,46.0
HV3626T-BLK,131.88
HV3626T-WHT,131.88
HV3625T-BLK,113.4
HV3625T-WHT,113.4
HV1027MR11NW,35.63
HV1007MR11NW,77.84
F1642-SB,41.31
DUH377-BR,108.35
DUP377-BR,139.74
DUW577-BL,158.27
DUP7030-BL,79.13
FB1490,25.18
HV1227MR11NW,31.29
HV1207MR11NW,64.96
HV1327MR11NW,52.01
HV1128T,76.23
HV1108T,136.71
HV1459T-SS316,75.6
HV1127GU10T,32.06
HV1107MR11NW,63.35
HV1459T-AB,84.84
HV1459T-BLK,46.27
HV5892T-BLK-PDT,115.78
HV5892T-WHT-PDT,115.78
HV5893T-BLK-PDT,151.69
HV5893T-WHT-PDT,151.69
HV3003T-BLK-240V,58.94
HV3003T-BLK-12V,58.94
HV3003T-SS316-240V,58.94
HV3003T-SS316-12V,58.94
HV3004T-BLK-240V,58.94
HV3004T-BLK-12V,58.94
HV3004T-SS316-240V,58.94
HV3004T-SS316-12V,58.94
HV5802T-BLK-P,49.0
HV5802T-WHT-P,49.0
HV5803T-BLK-P,67.76
HV5803T-WHT-P,67.76
HV5805T-BLK-P,96.95
HV5805T-WHT-P,96.95
MPLS515BLK,60.0
